date;close;open;high;low
26/11/2003;1058.5;1053.9;1058.5;1048.3
25/11/2003;1053.9;1052.1;1058;1049.3
24/11/2003;1052.1;1035.3;1052.1;1035.3
21/11/2003;1035.3;1033.7;1037.6;1031.2
20/11/2003;1033.7;1042.4;1046.5;1033.4
19/11/2003;1042.4;1034.2;1044;1034.2
18/11/2003;1034.2;1043.6;1048.8;1034
17/11/2003;1043.6;1050.3;1050.3;1035.3
14/11/2003;1050.3;1058.4;1063.7;1048.1
13/11/2003;1058.4;1058.6;1059.6;1053
12/11/2003;1058.6;1046.6;1059.1;1046.6
11/11/2003;1046.6;1047.1;1048.2;1043.5
10/11/2003;1047.1;1053.2;1053.7;1045.6
7/11/2003;1053.2;1058;1062.4;1052.2
6/11/2003;1058;1051.8;1058.9;1046.9
5/11/2003;1051.8;1053.2;1054.5;1044.9
4/11/2003;1053.2;1059;1059;1051.7
3/11/2003;1059;1050.7;1061.4;1050.7
31/10/2003;1050.7;1046.9;1053.1;1046.9
30/10/2003;1046.9;1048.1;1052.8;1043.8
29/10/2003;1048.1;1046.8;1049.8;1043.3
28/10/2003;1046.8;1031.1;1046.8;1031.1
27/10/2003;1031.1;1028.9;1037.8;1028.9
24/10/2003;1028.9;1033.8;1033.8;1018.3
23/10/2003;1033.8;1030.4;1035.4;1025.9
22/10/2003;1030.4;1046;1046;1028.4
21/10/2003;1046;1044.7;1048.6;1042.5
20/10/2003;1044.7;1039.3;1044.7;1036.1
17/10/2003;1039.3;1050.1;1051.9;1036.6
16/10/2003;1050.1;1046.8;1052.9;1044
15/10/2003;1046.8;1049.5;1053.8;1043.2
14/10/2003;1049.5;1045.3;1049.5;1040.8
13/10/2003;1045.3;1038.1;1048.9;1038.1
10/10/2003;1038.1;1038.7;1040.8;1035.7
9/10/2003;1038.7;1033.8;1048.3;1033.8
8/10/2003;1033.8;1039.2;1040.1;1031
7/10/2003;1039.2;1034.3;1039.2;1026.2
6/10/2003;1034.3;1029.8;1036.5;1029.2
3/10/2003;1029.8;1020.2;1039.3;1020.2
2/10/2003;1020.2;1018.2;1021.9;1013.4
1/10/2003;1018.2;996;1018.2;996
30/9/2003;996;1006.6;1006.6;990.4
29/9/2003;1006.6;996.9;1006.9;995.3
26/9/2003;996.9;1003.3;1003.5;996.1
25/9/2003;1003.3;1009.4;1016;1003.3
24/9/2003;1009.4;1029;1029.8;1008.9
23/9/2003;1029;1022.8;1030.1;1021.5
22/9/2003;1022.8;1036.3;1036.3;1018.3
19/9/2003;1036.3;1039.6;1040.3;1031.9
18/9/2003;1039.6;1026;1040.2;1025.8
17/9/2003;1026;1029.3;1031.3;1024.5
16/9/2003;1029.3;1014.8;1029.7;1014.8
15/9/2003;1014.8;1018.6;1019.8;1013.6
12/9/2003;1018.6;1016.4;1019.6;1007.7
11/9/2003;1016.4;1010.9;1020.9;1010.9
10/9/2003;1010.9;1023.2;1023.2;1009.7
9/9/2003;1023.2;1031.6;1031.6;1021.1
8/9/2003;1031.6;1021.4;1032.4;1021.4
5/9/2003;1021.4;1028;1029.2;1018.2
4/9/2003;1028;1026.3;1029.2;1022.2
3/9/2003;1026.3;1022;1029.3;1022
2/9/2003;1022;1008;1022.6;1005.7
29/8/2003;1008;1002.8;1008.9;999.5
28/8/2003;1002.8;996.8;1004.1;991.4
27/8/2003;996.8;996.7;998;993.3
26/8/2003;996.7;993.7;997.9;983.6
25/8/2003;993.7;993.1;993.7;987.9
22/8/2003;993.1;1003.3;1011;992.6
21/8/2003;1003.3;1000.3;1009.5;999.3
20/8/2003;1000.3;1002.4;1003.5;996.6
19/8/2003;1002.4;999.7;1003.3;995.3
18/8/2003;999.7;990.7;1000.4;990.7
15/8/2003;990.7;988;992.4;987.1
14/8/2003;990.5;984;991.9;980.4
13/8/2003;984;990.4;992.5;980.9
12/8/2003;990.4;980.6;990.4;979.9
11/8/2003;980.6;977.6;985.5;974.2
8/8/2003;977.6;974.1;980.6;973.8
7/8/2003;974.1;967.1;974.9;963.8
6/8/2003;967.1;965.5;975.7;960.8
5/8/2003;965.5;982.8;982.8;965
4/8/2003;982.8;980.1;985.8;966.8
1/8/2003;980.1;990.3;990.3;978.9
31/7/2003;990.3;987.5;1004.6;987.5
30/7/2003;987.5;989.3;992.6;986
29/7/2003;989.3;996.5;998.6;984.1
28/7/2003;996.5;998.7;1000.7;993.6
25/7/2003;998.7;981.6;998.7;977.4
24/7/2003;981.6;988.6;998.9;981.1
23/7/2003;988.6;988.1;989.9;979.8
22/7/2003;988.1;978.8;990.3;976.1
21/7/2003;978.8;993.3;993.3;975.6
18/7/2003;993.3;981.7;994.2;981.7
17/7/2003;981.7;994;994;978.6
16/7/2003;994;1000.4;1003.5;989.3
15/7/2003;1000.4;1003.9;1009.6;996.7
14/7/2003;1003.9;998.1;1015.4;998.1
11/7/2003;998.1;988.7;1000.9;988.7
10/7/2003;988.7;1002.2;1002.2;983.6
9/7/2003;1002.2;1007.8;1010.4;998.2
8/7/2003;1007.8;1004.4;1008.9;998.7
7/7/2003;1004.4;985.7;1005.6;985.7
3/7/2003;985.7;993.8;995;983.3
2/7/2003;993.8;982.3;993.8;982.3
1/7/2003;982.3;974.5;983.3;962.1
30/6/2003;974.5;976.2;983.6;973.6
27/6/2003;976.2;985.8;988.9;974.3
26/6/2003;985.8;975.3;986.5;973.8
25/6/2003;975.3;983.5;991.6;974.9
24/6/2003;983.5;981.6;987.8;979.1
23/6/2003;981.6;995.7;995.7;977.4
20/6/2003;995.7;994.7;1002.1;993.4
19/6/2003;994.7;1010.1;1011.2;993.1
18/6/2003;1010.1;1011.7;1015.1;1004.6
17/6/2003;1011.7;1010.7;1015.3;1007
16/6/2003;1010.7;988.6;1010.9;988.6
13/6/2003;988.6;998.5;1000.9;984.3
12/6/2003;998.5;997.5;1002.7;991.3
11/6/2003;997.5;984.8;997.5;981.6
10/6/2003;984.8;975.9;984.8;975.9
9/6/2003;975.9;987.8;987.8;972.6
6/6/2003;987.8;990.1;1007.7;986
5/6/2003;990.1;986.2;990.1;978.1
4/6/2003;986.2;971.6;987.9;970.7
3/6/2003;971.6;967;973;964.5
2/6/2003;967;963.6;979.1;963.6
30/5/2003;963.6;949.6;965.4;949.6
29/5/2003;949.6;953.2;962.1;946.2
28/5/2003;953.2;951.5;959.4;950.1
27/5/2003;951.5;933.2;952.8;927.3
23/5/2003;933.2;931.9;935.2;927.4
22/5/2003;931.9;923.4;935.3;922.5
21/5/2003;923.4;919.7;923.9;914.9
20/5/2003;919.7;920.8;925.3;912
19/5/2003;920.8;944.3;944.3;920.2
16/5/2003;944.3;943.6;948.6;938.6
15/5/2003;946.7;939.3;948.2;938.8
14/5/2003;939.3;942.3;947.3;935.2
13/5/2003;942.3;945.1;947.5;938.9
12/5/2003;945.1;933.4;946.8;929.3
9/5/2003;933.4;920.3;933.8;920.3
8/5/2003;920.3;929.6;929.6;919.7
7/5/2003;929.6;934.4;937.2;926.4
6/5/2003;934.4;926.5;939.6;926.4
5/5/2003;926.5;930.1;933.9;924.5
2/5/2003;930.1;916.3;930.6;912.4
1/5/2003;916.3;916.9;919.7;902.8
30/4/2003;916.9;917.8;922;911.7
29/4/2003;917.8;914.8;924.2;911.1
28/4/2003;914.8;898.8;918.1;898.8
25/4/2003;898.8;911.4;911.4;897.5
24/4/2003;911.4;919;919;906.7
23/4/2003;919;911.4;919.7;909.9
22/4/2003;911.4;892;911.7;886.7
21/4/2003;892;893.6;898;888.2
17/4/2003;893.6;879.9;893.8;879.2
16/4/2003;879.9;890.8;896.8;877.9
15/4/2003;890.8;885.2;891.3;881.9
14/4/2003;885.2;868.3;885.3;868.3
11/4/2003;868.3;871.6;883.3;865.9
10/4/2003;871.6;866;871.8;862.8
9/4/2003;866;878.3;887.4;865.7
8/4/2003;878.3;879.9;883.1;874.7
7/4/2003;879.9;878.9;904.9;878.9
4/4/2003;878.9;876.5;882.7;874.2
3/4/2003;876.5;880.9;885.9;876.1
2/4/2003;880.9;858.5;884.6;858.5
1/4/2003;858.5;848.2;861.3;847.9
31/3/2003;848.2;863.5;863.5;843.7
28/3/2003;863.5;868.5;869.9;860.8
27/3/2003;868.5;870;874.1;858.1
26/3/2003;870;874.7;875.8;866.5
25/3/2003;874.7;864.2;879.9;862.6
24/3/2003;864.2;895.8;895.8;862
21/3/2003;895.8;875.8;895.9;875.8
20/3/2003;875.7;874;879.6;859
19/3/2003;874;866.5;875;861.2
18/3/2003;866.5;862.8;866.9;857.4
17/3/2003;862.8;833.3;862.8;827.2
14/3/2003;833.3;831.9;841.4;828.3
13/3/2003;831.9;804.2;832;804.2
12/3/2003;804.2;800.7;804.2;788.9
11/3/2003;800.7;807.5;814.2;800.3
10/3/2003;807.5;828.9;828.9;806.6
7/3/2003;828.9;822.1;829.5;811.2
6/3/2003;822.1;829.9;829.9;819.9
5/3/2003;829.9;822;829.9;819
4/3/2003;822;834.8;835.4;822
3/3/2003;834.8;841.1;852.3;832.7
28/2/2003;841.1;837.3;847;837.3
27/2/2003;837.3;827.5;842.2;827.5
26/2/2003;827.5;838.6;840.1;826.7
25/2/2003;838.6;832.6;839.5;818.5
24/2/2003;832.6;848.2;848.2;832.2
21/2/2003;848.2;837.1;852.3;831.5
20/2/2003;837.1;845.1;849.4;836.6
19/2/2003;845.1;851.2;851.2;838.8
18/2/2003;851.2;834.9;852.9;834.9
14/2/2003;834.9;817.4;834.9;815
13/2/2003;817.4;818.7;821.2;806.3
12/2/2003;818.7;829.2;832.1;818.5
11/2/2003;829.2;836;843;825.1
10/2/2003;836;829.7;837.2;823.5
7/2/2003;829.7;838.1;845.7;826.7
6/2/2003;838.1;843.6;844.2;833.2
5/2/2003;843.6;848.2;861.6;842.1
4/2/2003;848.2;860.3;860.3;840.2
3/2/2003;860.3;855.7;864.6;855.7
31/1/2003;855.7;844.6;858.3;840.3
30/1/2003;844.6;864.4;865.5;843.7
29/1/2003;864.4;858.5;868.7;845.9
28/1/2003;858.5;847.5;860.8;847.5
27/1/2003;847.5;861.4;864;844.2
